15.06.2014 17:25:18 [main] INFO  by.bsu.boika.electrical.Main  - Hello!
18.06.2014 16:21:04 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:44:01 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 17:13:32 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 17:13:33 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 17:14:52 [main] INFO  by.boika.electrical.main.Main  - 1409
20.06.2014 14:58:10 [main] INFO  by.boika.electrical.parser.DOMParserReader  - com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl@7fe4e47f
20.06.2014 14:58:10 [main] INFO  by.boika.electrical.parser.DOMParserReader  - com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl@c558f72
20.06.2014 14:58:10 [main] INFO  by.boika.electrical.parser.DOMParserReader  - com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl@453c8bb1
20.06.2014 14:58:10 [main] INFO  by.boika.electrical.parser.DOMParserReader  - com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl@9f734fa
20.06.2014 14:58:10 [main] INFO  by.boika.electrical.parser.DOMParserReader  - com.sun.org.apache.xerces.internal.dom.DeepNodeListImpl@44b70e32
20.06.2014 14:58:44 [main] INFO  by.boika.electrical.parser.DOMParserReader  - false
20.06.2014 14:58:44 [main] INFO  by.boika.electrical.parser.DOMParserReader  - false
20.06.2014 14:58:44 [main] INFO  by.boika.electrical.parser.DOMParserReader  - false
20.06.2014 14:58:44 [main] INFO  by.boika.electrical.parser.DOMParserReader  - false
20.06.2014 14:58:44 [main] INFO  by.boika.electrical.parser.DOMParserReader  - false
20.06.2014 15:01:17 [main] INFO  by.boika.electrical.parser.DOMParserReader  - true
20.06.2014 15:01:17 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 1
20.06.2014 16:39:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - !
20.06.2014 16:39:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - !
20.06.2014 16:39:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - !
20.06.2014 16:39:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - !
20.06.2014 16:39:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - !
20.06.2014 16:40:45 [main] INFO  by.boika.electrical.parser.DOMParserReader  - HAIRDRYER
20.06.2014 16:40:45 [main] INFO  by.boika.electrical.parser.DOMParserReader  - HAIRDRYER
20.06.2014 16:40:45 [main] INFO  by.boika.electrical.parser.DOMParserReader  - KETTLE
20.06.2014 16:40:45 [main] INFO  by.boika.electrical.parser.DOMParserReader  - PHOTO_CAMERA
20.06.2014 16:40:45 [main] INFO  by.boika.electrical.parser.DOMParserReader  - MEDIA_CENTER
20.06.2014 16:41:06 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
20.06.2014 16:41:06 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
20.06.2014 16:41:06 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
20.06.2014 16:41:06 [main] INFO  by.boika.electrical.parser.DOMParserReader  - LI_ION
20.06.2014 16:41:06 [main] INFO  by.boika.electrical.parser.DOMParserReader  - LI_ION
20.06.2014 16:42:47 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
20.06.2014 16:42:47 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
20.06.2014 16:42:47 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
20.06.2014 16:42:47 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
20.06.2014 16:42:47 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
20.06.2014 16:47:30 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
20.06.2014 16:47:30 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
20.06.2014 16:47:30 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
20.06.2014 16:47:30 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
20.06.2014 16:47:30 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
20.06.2014 16:48:21 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
20.06.2014 16:48:21 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
20.06.2014 16:48:21 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
20.06.2014 16:48:21 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
20.06.2014 16:48:21 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
20.06.2014 16:50:24 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
20.06.2014 16:50:24 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
20.06.2014 16:50:24 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
20.06.2014 16:50:24 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
20.06.2014 16:50:24 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
20.06.2014 18:05:58 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
20.06.2014 18:05:58 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
20.06.2014 18:05:58 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
20.06.2014 18:05:58 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
20.06.2014 18:05:58 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
22.06.2014 12:02:42 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32
22.06.2014 12:02:42 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER SONY HSY55
22.06.2014 12:02:42 [main] INFO  by.boika.electrical.main.Main  - KETTLE Philips KPB43
22.06.2014 12:02:42 [main] INFO  by.boika.electrical.main.Main  - PHOTO_CAMERA NIKON D5100
22.06.2014 12:02:42 [main] INFO  by.boika.electrical.main.Main  - MEDIA_CENTER SONY MCS22
23.06.2014 14:41:02 [main] INFO  by.boika.electrical.main.Main  - 0
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.main.Main  - 0
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 begin to blow
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 14:41:48 [main] INFO  by.boika.electrical.main.Main  - 1409
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.main.Main  - 0
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 begin to blow
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 14:49:49 [main] INFO  by.boika.electrical.main.Main  - 1409
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.main.Main  - 0
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 begin to blow
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 begin boil
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 camera on
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 begin play
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.main.Main  - 1409
23.06.2014 14:49:59 [main] INFO  by.boika.electrical.main.Main  - 0
23.06.2014 14:52:25 [main] INFO  by.boika.electrical.main.Main  - HAIRDRYER Philips HPS32 HAIRDRYER Philips HPS32
23.06.2014 15:09:49 [main] INFO  by.boika.electrical.main.Main  - -100
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 begin boil
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera on
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 begin play
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 17:53:03 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch off
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 begin boil
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera on
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 begin play
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch off
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:54:20 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 begin boil
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera on
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 begin play
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 finish blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 finish blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 finish boil
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera off
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 finish play
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch off
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:54:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 begin boil
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera on
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 begin play
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.main.Main  - 1409
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 finish blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 finish blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 finish boil
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera off
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 finish play
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch off
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.main.Main  - 300
09.07.2014 14:49:38 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 1
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 5
09.07.2014 14:51:52 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
        
            Hairdryer
            HPS32
            Philips
            220
            100
            2
        

        
            Hairdryer
            HSY55
            SONY
            220
            200
            2
        

        
            Kettle
            KPB43
            Philips
            220
            1000
            2
        

        
            Media_Center
            MCS22
            SONY
            220
            100
            2
        
    
09.07.2014 14:52:14 [main] INFO  by.boika.electrical.parser.DOMParserReader  - [local: null]
09.07.2014 14:52:26 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
09.07.2014 14:52:40 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
09.07.2014 14:52:49 [main] INFO  by.boika.electrical.parser.DOMParserReader  - 
09.07.2014 14:53:20 [main] INFO  by.boika.electrical.parser.DOMParserReader  - [#text: 
        ]
09.07.2014 14:53:30 [main] INFO  by.boika.electrical.parser.DOMParserReader  - [#text: 
        ]
